[$([C!D1]-@C(=O)-@[N!a])],-2
[$([C!D1]-!@C(=O)-!@[N!a])],-2
"[$([#6]=,:[*R!C!c]=,:[#6R]~@[*R!C!c])]",-2
[$([A!C!H1](-!@[#6])-!@[#6])],-2
[$([#7]=[C!$(*a)]-!@[N!H0])],-2
[$([#8]=[#6H0]-!@[N!H2])!$(NC[!#6])],-2
"[#8]=[#6](-!@[NH1,NH0])-!@[N!H2]",-2
[$(O=[CD3]([#6])[#6])],-2
[$([#16X2v2]([#6])[#6])],-2
[$([#8X2H0][#6]=[#8D1])],-2
[$([#8X2v2]([#6])[#6])],-2
c1:c-@C-@N-@C-@C-@O-@C-@c:c-1,-2
"[N,O,C]C(=O)C1=C[C@H](*)C[C@H](O)O1",-2
C[C@H]1O[C@H]~3O[C@H]~C~2~C~C[C@H]([C@@H]~1)[C@@H]~23,-2
C[C@@H]1O[C@@H]~2O[C@H][C@@H][C@@H]~3~C~C~C~1[C@@H]~23,-2
C[C@H]2C[C@]14~C~C~C~C[C@H]1Oc3cccc(CN2)c34,-2
[#6][C@H]1C[C@@H]([#6])O[C@@H](-a)O1,-2
C2=CC[C@@H]1C(=O)~*~*~C(=O)[C@@H]1[C@@H]2-a,-2
C2=CC[C@@H]1C(=O)~*~C(=O)[C@@H]1[C@@H]2-a,-2
"a-[CH,CH2;R0;0*]",-2
"[R;0*]-[CH2R0,NHR0,OR0;0*]-[R]",-2
"*-[CD3H,ND2;R0;0*](-a)-a",-2
[a]-&!@[a],-2
[NR;0*]-[CD3R0;0*](=O)-[R],-2
[NR;0*]-[CD2R0;0*]-[R],-2
"[NR;0*]-[CD2R0;0*]-[CD2,CD3,OD2,ND2,ND3,aD2,aD3]",-2
"a-[NHR0]-[CR0;0*](=O)-[OR0,NR0,0*]",-2
"[CR,NR]=[CR]-&!@[a]",-2
[$([#6](-!@[#7])-!@[#7!H0])],-2
[$([#6](@[#7])@[#7!H0])],-2
[$([A!C!H1](-@[#6])-@[#6])],-2
[$([#6](=[#8])-[#6]=[!#6])],-2
"[$([#16X3v4,#16X4v6]([#6])[A])]",-2
[$(C(~O)(~O)~O)],-2
