[#6]-[#6],1
[#6]=[#6],0.5
[#6]#[#6],0.333
[#6]:[#6],0.667
[#6]-[#7],0.857
[#6]=[#7],0.429
[#6]#[#7],0.286
[#6]:[#7],0.571
[#6]-[#8],0.75
[#6]=[#8],0.375
[#6]-[#9],0.667
[#6]-[#15],0.4
[#6]-[#16],0.375
[#6]=[#16],0.188
[#6]:[#16],0.25
[#6]-[#17],0.353
[#6]-[#35],0.171
[#6]-[#53],0.113
